Delivery Month,Provider,Direction,From Zone,To Zone,Winner,Winner EIC,Participant Awarded MW,Auction Offered MW,Auction Requested MW,Auction Allocated MW,Clearing Price EUR/MWh,Auction ID,Winner Evidence,Source URL,Successful Participants
2026-10,JAO,HR→RS,HR,RS,AXPO ITALIA SPA,26X00000001311-J,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,Centrica Energy Trading A/S,11XNEAS--------Q,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,EDF TRADING Ltd,11XEDFTRADING--G,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,ENERGOLINK,28X0000000000997,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,ENERWAVE SOCIETE ANONYME,29XTHESSALPOWERA,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,Ezpada AG,11XEZPADA------P,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,GEN-I d.o.o. Beograd,34XGENI-BEOGRADH,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,"Gunvor International B.V., Amsterdam, succursale de Genève",12X-0000001807-W,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,HEKN Trading B.V.,49X000000000041S,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,Kelag International Ljubljana d.o.o.,28X-INTERENERGO8,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,MET Austria Energy Trade GmbH,14X----0000017-3,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,MFT Energy A/S,23X--161129-ME-L,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
2026-10,JAO,HR→RS,HR,RS,Mind Energy A/S,11XDISAM-------V,,155,1745,155,3.55,HR-RS-M-BASE-------261001-01,JAO winningParties explicit Party EIC; participant MW not published,https://www.jao.eu/auctions,15
