EIC,Company,Display Name,Source URL,Registry Download URL
11X-HESSENERGY-9,Hartree Partners Power & Gas Co UK Ltd,HEPGCO-UK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11X0-0000-0518-U,Engelhart CTP Renewables GmbH,TSR,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XCEZ-CZ------1,"CEZ, a.s.",CEZ_CZ,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XDANSKECOM---P,Danske Commodities A/S,DANSKECOM,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XDISAM-------V,Mind Energy A/S,DISAM,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XEDFTRADING--G,EDF TRADING Ltd,EDFTRADING,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XEZPADA------P,Ezpada AG,EZPADA_AG,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XFREEPOINT---N,Freepoint Commodities Europe LLP,FREEPOINT,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XHSE-SLOVENIAG,HOLDING SLOVENSKE ELEKTRARNE d.o.o.,HSE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XIGET--------D,"GEN-I, trgovanje in prodaja elektricne energije, d.o.o.",GEN-I,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XNEAS--------Q,Centrica Energy Trading A/S,NEAS,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XPPCDDE9-----D,PUBLIC POWER CORPORATION S.A.,PPC_SA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
11XSTATKRAFT001N,Statkraft Markets GmbH,STATKRAFT-DE1,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
